id,uses_spaces,uses_recipes,uses_home,has_extension,has_app,avg_ctr,avg_num_queries
0,True,False,False,False,False,0.044304432804056715,17.08007153034268
1,False,False,True,False,True,0.8069182361737456,17.311503592914654
2,False,False,True,True,True,0.2739892033786274,6.40610482832443
3,False,False,True,True,False,0.33906978274270316,3.956765711188375
4,False,True,True,False,False,0.4435023191939389,6.89450176770148
5,False,True,False,True,False,0.7757109117291047,2.920321412185887
6,False,True,False,False,False,0.49343996674965895,2.2855122535648014
7,False,True,False,False,False,0.1281952133983345,19.875390372144697
8,True,False,True,False,False,0.08954874807046675,6.755995684853702
10,False,False,True,False,False,0.9322551041811638,15.356432583926615
12,True,False,False,False,False,0.16209093182832868,8.188115001444487
13,False,False,True,False,False,0.2906119013761166,17.292340048802888
14,True,False,True,True,True,0.3073726129429889,10.775925892524102
15,False,False,False,False,False,0.19092119281128628,8.008814302586012
16,False,True,True,False,False,0.6609062387366222,9.407657659557154
17,False,True,False,False,False,0.3423302355984852,19.653959870550004
18,True,False,False,True,True,0.9489796374297814,16.07972173187151
19,False,False,False,False,False,0.6473962154016816,5.978368580583296
22,False,False,False,False,True,0.10184387661544214,10.041161634924821
23,False,False,False,False,True,0.6135939050765236,19.300648559406437
24,False,False,True,False,True,0.5132607135508226,17.217528424777242
26,True,False,False,True,True,0.921106568491805,5.876088924103587
27,False,True,False,True,True,0.1342818669919913,12.593276350376993
28,True,False,False,False,False,0.4445740099180263,13.050640283359602
29,False,False,False,True,True,0.8114451936559456,8.484610426429978
30,False,False,False,False,False,0.24324791611540808,10.273022521599875
31,False,False,False,False,False,0.3767901799772848,19.878465724437447
32,True,False,True,False,True,0.2750339198822809,13.186998089708153
33,True,False,True,False,False,0.23694497823588434,11.738553944603023
34,False,False,False,True,True,0.5497724126095175,3.6856631081949858
38,False,False,False,False,True,0.2652439753379966,14.64381685630106
39,True,False,True,True,False,0.7888313295351329,2.6924628740531147
40,False,False,False,True,True,0.011581675167783634,8.751678529404328
41,False,False,False,True,True,0.026160124053701495,11.754299604146384
42,True,False,False,False,False,0.7381855279913289,10.601850368139655
43,False,False,True,False,False,0.8009528647990263,6.218041474498591
44,False,False,True,False,False,0.4218971058791461,17.7565761666243
46,True,False,True,False,False,0.37745495604317814,20.087554010754786
47,False,False,False,True,False,0.6406478280052107,14.555260017906154
48,False,False,True,False,False,0.561948094337633,21.514675435164875
49,False,False,False,True,True,0.8082983142492447,9.555631803574329
50,False,False,False,False,False,0.5476244994186905,5.193016068850357
51,False,False,True,False,False,0.0955485107476296,6.328057930129594
52,True,False,False,True,True,0.591476113159113,21.74516581062203
53,False,False,False,True,False,0.954408127155183,16.375612873540845
54,False,False,False,False,True,0.47859865981754923,16.967139467133396
55,True,True,False,False,False,0.6095051289009275,18.705912075213888
56,False,False,True,False,False,0.9721536143342008,13.621021421430399
57,True,False,False,False,False,0.2842216140608421,21.757421315416952
58,True,False,False,False,False,0.761617967791988,14.07071035160212
61,False,True,True,False,False,0.7568627683624467,13.313033428534903
63,False,False,True,False,False,0.38692399828834856,20.70597680660372
64,True,False,False,False,True,0.9731180419718518,14.168470269919036
65,False,False,True,True,True,0.6184778084213981,18.400905024095827
66,False,False,False,True,False,0.06332459559277603,14.967760217173067
67,False,True,False,False,True,0.3654647016874867,6.707229078841366
68,False,False,True,False,False,0.7164827197404197,4.49116813976168
69,False,False,True,False,False,0.1981729318134987,7.058508346029241
71,False,False,False,False,False,0.2916421917421955,18.714415433333834
72,True,True,True,True,True,0.24231248431181274,6.624823809953118
74,True,False,True,True,False,0.6696926146736341,9.55961864115027
75,False,True,False,False,False,0.43609878661957335,6.995098475198139
76,False,False,False,True,True,0.11963335405042752,15.97812435879241
77,True,True,False,True,False,0.3974048843103195,14.247243819893107
78,False,True,False,True,True,0.7446939144094581,19.091650330894662
79,True,False,True,False,False,0.4130272667157837,13.441108924525176
80,True,False,True,False,False,0.30027851914873704,13.767648489512908
81,False,False,False,True,True,0.2355785781244989,4.586543434156734
82,False,False,False,False,False,0.16775259387987673,5.421542950011829
84,False,False,False,False,True,0.9001038901401807,20.10234639667271
85,True,False,False,False,False,0.52452700880474,3.057732141456933
86,True,False,True,False,False,0.8530730042624549,17.156666673012516
87,False,False,False,False,False,0.7928460797391468,9.80060075089735
89,False,False,False,False,False,0.42592053575632927,5.745657241829821
90,False,False,False,False,False,0.5832193226635337,12.556498988541627
91,False,False,False,False,False,0.12475813586321927,13.447538752589475
92,False,False,False,True,True,0.48986502343753946,8.129930722993024
93,True,False,True,False,False,0.29465487191904327,14.834979885323856
95,False,False,False,True,True,0.17624189374616694,6.820909914805069
96,False,False,True,True,False,0.007718752170264076,4.409969804507053
97,True,True,False,False,False,0.5140066200545972,20.25428752144491
